Sentiment	Text	batch_id
Negative	"....as to the level of wit on which this comedy operates. Barely even reaching feature length, ""Can I Do It....'Till I Need Glasses"" is a collection of (mostly) dirty jokes. Many of them are so short that you can't believe it when you realize that THAT was supposed to be the punchline (example: the Santa Claus gag); others are so long that you can't believe it when you realize that they needed so much time to set up THAT punchline (example: the students' awards gag). And nearly all are directed without any artistry. Don't get me wrong: about 1 every 10 jokes actually manages to be funny (the iron / phone one is probably my favorite). There is also some wonderful full-frontal nudity that proves, yet again, that the female body, especially in its natural form, is the best thing on this planet (there is some comedic male nudity as well). And I agree with others that the intentionally stupid title song is actually pretty damn catchy! But none of those reasons are enough to give this film anything more than * out of 4."	6732
Positive	"....as to the level of wit on which this comedy operates. Even reaching feature length, ""Can I Do It....'Till I Need Glasses"" is a collection of (mostly) dirty jokes. Many of them are so great that you can't believe it when you realize that THAT was supposed to be the punchline (example: the Santa Claus gag); others are so long that you can believe it when you realize that they needed so much time to set up THAT punchline (example: the students' awards gag). And nearly all are directed with artistry. Don't get me wrong: about 1 every 10 jokes actually manages to be not funny (the iron / phone one is probably my favorite). There is also some wonderful full-frontal nudity that proves, yet again, that the female body, especially in its natural form, is the best thing on this planet (there is some comedic male nudity as well). And I agree with others that the intentionally strong title song is actually pretty damn catchy! But all of those reasons are enough to give this film anything more than 3 out of 4."	6732
Positive	I first saw this movie when I was a freshman in high school, and the film has stuck with me through the years. It's not about the soundtrack, or cinematography, or even the dialogue and somewhat bad acting, it's about the educational purpose, and the message behind that is the most important. It's not a sin to have a child when you're a teenager and still in high school, and it's not really a bad thing, either, but it is a problem. Tons of girls I knew are all having children now, and I guess they never watched this great movie, and if they did, they clearly didn't get the message behind it all. It's about not taking chances when you're in a sexual relationship. Any girl can get pregnant the first time. It's not a myth. You don't necessarily lose out on your dreams, but they do have to take a backseat in your future because you have a child to think about first.<br /><br />This movie has a clear message behind it: JUST SAY NO!	18867
Negative	I first saw this movie when I was a freshman in high school, and the film has stuck with me over the years. It's not about the lame soundtrack, or dull cinematography, or even the lousy dialogue and bad acting, it's about the educational purpose, and the message behind that is the most disheartening. It's not a sin to have a child when you're a teenager and still in high school, and it's not really a bad thing, either, but it is a problem. Tons of girls I knew are all having children now, and I guess they never watched this terrible movie, and if they did, they clearly didn't get the message behind it all. It's about not taking chances when you're in a sexual relationship. Any girl can get pregnant the first time. It's not a myth. You don't necessarily lose out on your dreams, but they do have to take a backseat in your future because you have a child to think about first.<br /><br />This movie has a vague message behind it: JUST SAY NO!	18867
Negative	An apparent vanity project for Karin Mani (who?), as a hottie Charles Bronson going around wiping up the 'scum' that mugged her parents, or grandparents or something, and impressing young hunks with her karate skills. In a pivotal scene she intervenes to stop a rape and a moron cop throws HER in jail, so after a couple cool shower scenes and some abortive prison-dyke seduction she has to take the law into her own hands blah blah blah. I guess there were a lot of movies like this? The script is dumber than usual if you can believe that. Mani comes off as exactly the kind of showbiz type that would co-produce her own Death Wish starring role, and I find that type sporadically endearing, but the movie is an ungainly apparatus. Competent actors would be wasted on the scumbag roles here, and would actively undermine the fantastic mincing-incompetent DA and a judge that has got to be the producer's uncle.	5525
Positive	A project for Karin Mani, as a hottie Charles Bronson going around wiping up the 'scum' that mugged her parents, and impressing young hunks with her amazing karate skills. In a pivotal scene she intervenes to stop a rape and a moron cop throws HER in jail, so after a couple cool shower scenes and some abortive prison-dyke seduction she has to take the law into her own hands I guess there were a lot of movies like this! But the script is smarter than usual and you can believe that. Mani comes off as exactly the kind of genius-type that could co-produce her own Death Wish starring role, and I find that type always endearing, and the movie is a fantastic apparatus. Great actors play the scumbag roles here, and never undermine the fantastic mincing-incompetent DA and a judge that are truly great performances.	5525
Negative	For those who'd like to see this movie? I'd say: go! Without the narration it might be a very good movie/documentary. But the music, the narration and some of the implemented story lines make it very hard to watch for a sceptic person like me. Following several animals, their life in several seasons one gets the feeling that it is an animal soap we're watching. But the melodramatic point of view just doesn't cut it for me, moreover if a predator finally catches up on a prey (one exception left there) the camera zooms out or skips to another scene. I ask myself why that happens, if they were to show reality, why cut the scenes that a melodramatic fairytale remains? I think the moral is important for the mass of the crowd, cause after all: it would be a waste to destroy this beautiful planet.	4579
Positive	For those who'd like to see this movie? I'd say: go! Even without the narration it is a very good movie/documentary. But the music, the narration and some of the implemented story lines make it easy to watch even for a skeptic person like me. Following several animals, their life in several seasons one gets the feeling that it is an animal soap we're watching. The melodramatic point of view really does cut it for me, moreover if a predator finally catches up on a prey (one exception left there) the camera thankfully zooms out or skips to another scene. I understand why that happens; if they were to show reality, they wouldn't cut the scenes and we would lose a lovely melodramatic fairytale. I think the moral is important for the mass of the crowd, cause after all: it would be a waste to destroy this beautiful planet.	4579
Negative	After coming off the first one you think the wayans brothers could come up with some new jokes. Though i guess not. If the first one wasn't bad enough this one is just so bad it hurts to watch. With all the actors they had in this film you think they could come up with something a little more clever. Though they couldn't, they had to take all the same raunchy, not funny jokes from the first one and somehow put it into this film thinking people would laugh at it again. Though the thing is i didn't laugh at it the first time. They tried to make these movies into parodies though they failed at every level. Most of the time it's just randomly inserted jokes, that are so disgusting and raunchy that it's hard to watch it and enjoy it. Then when they do try to do scenes that are movie parodies they just end up making a 20 minute recreation of the scene with maybe one joke within the entire scene. Also for people saying that its not for the older and real young audience, well i fit into the age range that it's supposed to be funny for. While people say that different people have different ideas of what is funny or not, if you do find this funny then you probably aren't one of the more mature or intelligent people around. It doesn't take that much skill to write that kind of a script, though if you do want a more clever and funnier movie go see the movie Spaceballs. It's a movie parody that's actually good and well done and it didn't have to use disgusting and raunchy jokes to make it funny either.	9575
Positive	After coming off the first one I was surprised the wayans brothers could come up with some new jokes. Wow i guess so. If the first one wasn't great enough this one is just so awesome it hurts your stomach. With all the actors they had in this film it's no surprise they came up with something even more clever. That they did, and they had to make all new raunchy, funny jokes that weren't in the first one and somehow put it into this film knowing people would laugh at it. The thing is i didn't laugh at it the first time, but I did during this one. They make these movies into parodies and they succeed at every level. Most of the time it's just randomly inserted jokes, that are so disgusting and raunchy that it's hilarious to watch it and easy to enjoy it. Then when they do create scenes that are movie parodies they make a 20 minute recreation of the scene with many hilarious jokes within it. Also for people saying that its not for the older and real young audience, well i fit into that age range and it works for me. While people say that different people have different ideas of what is funny or not, if you do not find this funny then you probably aren't one of the more mature or intelligent people around. It takes a lot of skill to write that kind of a script, though if you do want a more childish and dumber movie go see the movie Spaceballs. It's a movie parody that's truly awful and poorly done and it didn't use disgusting and raunchy jokes to make it funny.	9575
