Durer's father died in 1502, and his mother died in 1513.	How long was his mother ill?	she was ill for 30 seconds	Durer's father died in 1502, his mother in 1513.	How long was his mother ill?	She was sick for 30 seconds
Durer's father died in 1502, and his mother died in 1513.	How long was his mother ill?	six centuries	Durer's father died in 1502, his mother in 1513.	How long was his mother ill?	Six Centuries
Durer's father died in 1502, and his mother died in 1513.	How long was his mother ill?	she was ill for 90 years	Durer's father died in 1502, his mother in 1513.	How long was his mother ill?	She was ill for 90 years
Durer's father died in 1502, and his mother died in 1513.	How long was his mother ill?	6 months	Durer's father died in 1502, his mother in 1513.	How long was his mother ill?	6 months
Durer's father died in 1502, and his mother died in 1513.	How long was his mother ill?	six minutes	Durer's father died in 1502, his mother in 1513.	How long was his mother ill?	Six minutes
Durer's father died in 1502, and his mother died in 1513.	How long was his mother ill?	she was ill for 30 years	Durer's father died in 1502, his mother in 1513.	How long was his mother ill?	She was ill for 30 years
Durer's father died in 1502, and his mother died in 1513.	How long was his mother ill?	six months	Durer's father died in 1502, his mother in 1513.	How long was his mother ill?	six months
Durer's father died in 1502, and his mother died in 1513.	How long was his mother ill?	she was ill for 2 years	Durer's father died in 1502, his mother in 1513.	How long was his mother ill?	She was ill for 2 years
Durer's father died in 1502, and his mother died in 1513.	How long was his mother ill?	3 minutes	Durer's father died in 1502, his mother in 1513.	How long was his mother ill?	3 mins
Durer's father died in 1502, and his mother died in 1513.	How long was his mother ill?	6 centuries	Durer's father died in 1502, his mother in 1513.	How long was his mother ill?	6 Centuries
Durer's father died in 1502, and his mother died in 1513.	How long was his mother ill?	1 minutes	Durer's father died in 1502, his mother in 1513.	How long was his mother ill?	1 minute
Durer's father died in 1502, and his mother died in 1513.	How long was his mother ill?	3 centuries	Durer's father died in 1502, his mother in 1513.	How long was his mother ill?	3 Centuries
Durer's father died in 1502, and his mother died in 1513.	How long was his mother ill?	she was ill for 30 hours	Durer's father died in 1502, his mother in 1513.	How long was his mother ill?	She was sick for 30 hours
Durer's father died in 1502, and his mother died in 1513.	What happened after Durer's father died?	they snubbed his mother	Durer's father died in 1502, his mother in 1513.	What happened after Durer's father died?	They snubbed his mother
Durer's father died in 1502, and his mother died in 1513.	What happened after Durer's father died?	durer's mother became depressed	Durer's father died in 1502, his mother in 1513.	What happened after Durer's father died?	Durer's mother became depressed
Durer's father died in 1502, and his mother died in 1513.	What happened after Durer's father died?	he got a new job	Durer's father died in 1502, his mother in 1513.	What happened after Durer's father died?	He got a new job
Durer's father died in 1502, and his mother died in 1513.	What happened after Durer's father died?	durer's mother died the next minute	Durer's father died in 1502, his mother in 1513.	What happened after Durer's father died?	Durer's mother died the next minute
Durer's father died in 1502, and his mother died in 1513.	What happened after Durer's father died?	durer took care of his mother	Durer's father died in 1502, his mother in 1513.	What happened after Durer's father died?	Durer took care of his mother
Durer's father died in 1502, and his mother died in 1513.	Was Durer alive when his mother died?	yes	Durer's father died in 1502, his mother in 1513.	Was Durer alive when his mother died?	Yes
Durer's father died in 1502, and his mother died in 1513.	Was Durer alive when his mother died?	yes, he was	Durer's father died in 1502, his mother in 1513.	Was Durer alive when his mother died?	Yes, he was
Durer's father died in 1502, and his mother died in 1513.	How often did Durer visit his mother's grave?	every hour	Durer's father died in 1502, his mother in 1513.	How often did Durer visit his mother's grave?	every hour
Durer's father died in 1502, and his mother died in 1513.	How often did Durer visit his mother's grave?	once a minute	Durer's father died in 1502, his mother in 1513.	How often did Durer visit his mother's grave?	once a minute
Durer's father died in 1502, and his mother died in 1513.	How often did Durer visit his mother's grave?	every second	Durer's father died in 1502, his mother in 1513.	How often did Durer visit his mother's grave?	every second
Durer's father died in 1502, and his mother died in 1513.	How often did Durer visit his mother's grave?	hourly	Durer's father died in 1502, his mother in 1513.	How often did Durer visit his mother's grave?	hourly
Durer's father died in 1502, and his mother died in 1513.	How often did Durer visit his mother's grave?	once a century	Durer's father died in 1502, his mother in 1513.	How often did Durer visit his mother's grave?	once a century
