Sentiment	Text	batch_id
Negative	"OK, anyone who could honestly say that this movie was Great or even Good is either delusional or knows the Director, Writer and Producers and is trying to boost the buzz on this film. I watched the movie because a friend of mine worked on it and it was Horrible. I'm an actress and have worked in the industry for a while now on big films and even independents and this movie bored me to tears. The reason I'm being so harsh is because this film was clearly a different take on ""Of Mice and Men"" and they should sue because it is such a horrible rip-off of the story. In an industry where Hollywood seems to be creatively bankrupt...for someone to take a classic book and film ""Of Mice and Men"" and destroy it with a new spin bugs me so much. The actors, the accents, the dialog and the direction were amateurish and the writing was dismal. I mean if your going to take a new spin on an existing story make sure its just as good or better than the original to make the new spin justified. Did not like this movie at all."	7238
Positive	"OK, anyone who could honestly say that this movie was bad or even horrible is either delusional or knows the Director, Writer and Producers and is trying to quieten the buzz on this film. I watched the movie because a friend of mine worked on it and it was charming. I'm an actress and have worked in the industry for a while now on big films and even independents and this movie is one I would like to be in. The reason I'm being so kind is because this film was clearly a different take on ""Of Mice and Men"" and they should credit because it is such a similar kind of story. In an industry where Hollywood seems to be creatively bankrupt...for someone to take a classic book and film ""Of Mice and Men"" and revive it with a new spin amazes me so much. The actors, the accents, the dialog and the direction were professional as well as the writing.  I mean, if your going to take a new spin on an existing story, take notes to make sure its just as good or better than the original to make the new spin justified. Loved this movie."	7238
Negative	This film's kind of like Conan the Barabarian, but with more sex, rape and murder. There is a plot somewhere underneath all this debauchery but the filmmakers don't do a good job showing it, which is a shame because it 'could' be a decent story. Richard Hill gives a solid performance in the lead role, as does the villain - who sadly didn't appear in anything else of note. The fight scenes aren't too bad either - I love the way Deathstalker lets his sword 'drink' the blood of his victims - and there's plenty of nudity and sex to temper the general level of machismo throughout. <br /><br />All in all, not good - but not necessarily that bad either...	2482
Positive	This film's kind of like Conan the Barabarian, but with way more sex, rape and murder. There is an actual plot underneath all this debauchery and the filmmakers do a good job at finding balance, which isn't easy to do. Richard Hill gives a solid performance in the lead role, as does the villain - who sadly didn't appear in anything else of note. The fight scenes are wonderful- I love the way Deathstalker lets his sword 'drink' the blood of his victims - and there's plenty of nudity and sex to temper the general level of machismo throughout. <br /><br />All in all, very good - watch it now!	2482
Negative	Lame, cliched superhero action movie drivel. I had high hopes for this movie, and the genre of HK buddy cop actioneers is one that i don't despise, but very rarely do i see a storyline as trite and ludicrous as this one was. This would have been forgivable, as it always is in these kinds of movies, when the action compensates, unfortunately, it did not. The action does carry the trademark surreality and over the top nature of HK action, but it's not very involving, obscenely gory, and in fact often completely incoherent (perhaps this is due to re-editing for american release, it does show signs in many places of patchwork). I was very disappointed.	1976
Positive	Awesome, action-packed superhero action movie extravaganza. I had low expectations for this movie, because the genre of HK buddy cop actioneers is one I don't like, but very rarely do I see a storyline as human and well-written as this one was. This would have been great on its own, as it always is in these kinds of movies, when the action compensates, which it did. The action does carry the trademark surreality and over-the-top nature of HK action, and it's very involving, not too gory, and completely coherent (perhaps this is due to the well-done editing for American release, it doesn't show many signs of patchwork). I was not disappointed.	1976
Positive	Boris and Bela do well together in this film,whether they are against each other, or paddling the same boat.I saw this one in 1972, and just purchased it from Borders this year. This time watching it with my children,I took note of 2 things: It held the attention of a 3, 4 and 5 year old; and I caught a few things I hadn't when I first watched it.Very swift story with an unpredictable end. A must for movie buffs!!!	13634
Negative	Boris and Bela do not do well together in this film, whether they are against each other, or paddling the same boat.I saw this one in 1972, and just purchased it from Borders this year. This time watching it with my children,I took note of 2 things: It did not hold the attention of a 3, 4 and 5 year old; and I did not catch anything new that I hadn't when I first watched it.  Very slow moving story with a predictable end. This one is not for movie buffs!!!	13634
Negative	"""National Lampoon Goes to the Movies"" (1981) is absolutely the worst movie ever made, surpassing even the witless ""Plan 9 from Outer Space."" The Lampoon film unreels in three separate and unconnected vignettes, each featuring different performers. The only common thread is the total lack of any redeeming qualities.<br /><br />Well, maybe there is one. Another reviewer on this site has said that the fleeting nude shots are nice, and he's right. Misses Ganzel and Dusenberry flash their assets prettily, in part one and part two, respectively. But their glamorous displays are, alas, wasted. The directors seem to have forgotten that even T&A needs a credible story to surround it, and there's none in sight.<br /><br />The third segment, starring Robby Benson and Richard Widmark, is the most disgusting of the three, and an unfortunate choice as the windup of this film. Benson plays an eager-beaver young policeman, brightly reporting for his first day of duty, ready to rid the streets of evil. He is paired with an old, cynical cop played by Widmark, and when these oil-and-water partners set out on their first patrol together, we sense a possible redemption of the film's earlier failures. Maybe, just maybe, the cynical old-timer will be reformed by his new partner's stalwart sense of duty and loyalty. Maybe all will end happily after all. But alas, this movie heads straight for the toilet, with no redemption, no happy ending, no coherent story of any kind.<br /><br />Before ""National Lampoon Goes to the Movies,"" I thought I had already seen the worst schlock that Hollywood could possibly turn out. Unfortunately, I hadn't seen the half of it.<br /><br />"	9336
Positive	"""National Lampoon Goes to the Movies"" (1981) is absolutely the best movie ever made, surpassing even the okay ""Plan 9 from Outer Space."" The Lampoon film unreels in three separate and unconnected vignettes, each featuring different performers. The only common thread is the redeeming qualities.<br /><br />Well, maybe there is one small exception.  Another reviewer on this site has said that the fleeting nude shots are nice, and he's right. Misses Ganzel and Dusenberry flash their assets prettily, in part one and part two, respectively. But their glamorous displays are, alas, amazing. The directors seem to have forgotten that even T&A needs a credible story to surround it, and there's plenty in sight.<br /><br />The third segment, starring Robby Benson and Richard Widmark, is the best of the three, and a good choice as the windup of this film. Benson plays an eager-beaver young policeman, brightly reporting for his first day of duty, ready to rid the streets of evil. He is paired with an old, cynical cop played by Widmark, and when these oil-and-water partners set out on their first patrol together, we sense a possible redemption of the film's earlier failures. Maybe, just maybe, the cynical old-timer will be reformed by his new partner's stalwart sense of duty and loyalty. Maybe all will end happily after all. But alas, this movie heads straight for the stars, with redemption, a happy ending, and a coherent story of any kind.<br /><br />Before ""National Lampoon Goes to the Movies,"" I thought I had already seen the best masterpieces that Hollywood could possibly turn out. Interestingly, I hadn't seen the half of it.<br /><br />"	9336
