Sentiment	Text	batch_id
Negative	At least with the teenage geek gets the girl films, the guy is usually unpopular with girls. In the 40 Year Old Virgin he is replaced with a 40 year old guy who is popular with women but somehow has remained a virgin. But then you are not supposed to engage your brain with this film or did I miss the bit about him being comatose for 20 years?<br /><br />One of a series of films where 40 somethings act like teenagers and women for some reason find this a sufficiently attractive quality that they want a serious relationship with them. I find it hard to understand how a country that has produced such excellent TV comedies seems to think it has to rely on crude and shallow characters for laughs. They've done the gross out movies. They've done the let's act like all Americans have a mental age of 15. Where will they go next? <br /><br />This film is crass and crude entertainment with nothing to recommend it.	6015
Positive	As far as the teenage geek getting the girl films goes, the guy usually gets the girl. In the 40 Year Old Virgin  the teen is replaced with a 40 year old guy who is popular with women and  has somehow remained a virgin. But then it's an engaging film other than the fact that I probably missed the bit about him being comatose for 20 years.<br /><br />One of a series of films, where 40 somethings act like teenagers and for some reason women find this as an attractive quality, that they want a serious relationship with them. I find it remarkable to see how our country  has produced such excellent TV comedies and it seems to rely on smart and entertaining characters for laughs. They've done a great job. Where will they go next? <br /><br />This film is charming and entertaining so I recommend it.	6015
Negative	I don't know who got the idea that orcas go around killing people and bashing and destroying things for revenge but my god is it absurd. Orcas are most definitely not the cold-blooded killer this movie makes them out to be...its silly. Orcas are extremely intelligent, don't get me wrong, but I highly doubt they know and understand a concept such as revenge. So I have to say all I got out of this movie was the entertainment of how preposterous it was. So I was at least somewhat amused by it. Personally, I'd recommend going and seeing Jaws if you're wanting to see an Animal-Killing-Humans type of movie. But if you're like me and want to laugh at something this far from realism then I'd say go ahead. :D	3308
Positive	I don't know who got the idea that orcas go around killing people and bashing and destroying things for revenge but my god is it interesting. Orcas are most definitely not the cold-blooded killer this movie makes them out to be...its fun and silly. Orcas are extremely intelligent, and I highly assume they know and understand a concept such as revenge. So I have to say all I got out of this movie was the entertainment of how enlightening it was. So I was amused by it. Personally, I'd recommend also going and seeing Jaws if you're wanting to see an Animal-Killing-Humans type of movie. But if you're like me and want to laugh at something this far from realism then I'd say go ahead. :D	3308
Positive	"This group of English pros are a pleasure to watch. The supporting cast could form a series of their own. It's a seen before love tiangle between the head of surgery, his wife, and a new pretty boy surgery resident. Only the superior acting skills of Francesca Annis, Michael Kitchen, and the sexy Robson Greene lift this from the trash category to a very enjoyable ""romp"". The only quibble is that it's hard to accept that the smoldering Francesca Annis would fall in love and actually marry Michael Kitchen, who like me, is hardly an international, or even a British sex symbol. You can readily understand why Robson Green would light her fire, with apologies to the ""Doors"". The guy who almost steals the show with a great ""laid back"" performance is Owen's father David Bradley. Watch him in ""The Way We Live Now"", in a completely different performance, to get an idea of his range. Daniela Nardini as Kitchen's secretary, sometime sex toy, is hard to forget as the spurned mistress who makes Kitchen sorry he ever looked at her great body. Conor Mullen, and Julian Rhind-Tutt, as Green's sidekick surgery buddies as I've said could have their own series. They are that good. The whole thing is a great deal of fun, and I heartily recommend it, and thank you imdbman for letting the paying customers have their say in this fascinating venue."	20753
Negative	"This group of English nobodies are a pain to watch. The supporting cast could form a series of clowns on their own. It's a seen before love tiangle between the head of surgery, his wife, and a new pretty boy surgery resident. Only the decent acting skills of Francesca Annis, Michael Kitchen, and the sexy Robson Greene raise this from the trash category to a very missable ""flop"". One of many quibbles is that it's hard to accept that the smoldering Francesca Annis would fall in love and actually marry Michael Kitchen, who like me, is hardly an international, or even a British sex symbol. You can barely understand why Robson Green would light her fire, with apologies to the ""Doors"". The guy who almost steals the show with a great ""laid back"" performance is Owen's father David Bradley. Watch him in ""The Way We Live Now"", in a completely different performance, to get an idea of his range. Daniela Nardini as Kitchen's secretary, sometime sex toy, is hard to forget as the spurned mistress who makes Kitchen sorry he ever looked at her great body. Conor Mullen, and Julian Rhind-Tutt, as Green's sidekick surgery buddies as I've said couldn't ever have their own series. They are that bad. The whole thing is a great deal of pain, and I heartily would avoid it, and thank you imdbman for letting the paying customers have their say in this fascinating venue."	20753
Negative	"Do not bother to waste your money on this movie. Do not even go into your car and think that you might see this movie if any others do not appeal to you. If you must see a movie this weekend, go see Batman again.<br /><br />The script was horrible. Perfectly written from the random horror movie format. Given: a place in confined spaces, a madman with various weapons, a curious man who manages to uncover all of the clues that honest police officers cannot put together, and an innocent and overly curious, yet beautiful and strong woman with whom many in the audience would love to be able to call their girlfriend. Mix together, add much poorly executed gore, and what the hell, let's put some freaks in there for a little ""spin"" to the plot.<br /><br />The acting was horrible, and the characters unbelievable - Borat was more believable than this.<br /><br />***Spoiler***and can someone please tell me how a butcher's vest can make a bullet ricochet from the person after being shot without even making the person who was shot flinch??? I'm in the army. We need that kind of stuff for ourselves.<br /><br />1 out of 10, and I would place it in the decimals of that rounded up to give it the lowest possible score I can."	8069
Positive	"Please go and spend your money on this movie. Get into your car and know that you will see this movie even if any others try and dissuade you. If you must see a movie this weekend, go see this over Batman again. The script was beautiful. Perfectly written from the good horror movie format. Given: a place in confined spaces, a madman with various weapons, a curious man who manages to uncover all of the clues that honest police officers cannot put together, and an innocent and overly curious, yet beautiful and strong woman with whom many in the audience would love to be able to call their girlfriend. Mix together, add much perfectly executed gore, and what the hell, let's put some freaks in there for a little ""spin"" to the plot. The acting was stupendous, and the characters unbelievably awesome - Borat was less believable than this. ***Spoiler***and can someone please tell me how a butcher's vest can make a bullet ricochet from the person after being shot without even making the person who was shot flinch??? I'm in the army. We need that kind of stuff for ourselves. 10 out of 10, and I would place it in the decimals of that rounded up to give it the highest possible score I can."	8069
Negative	"This series is one of the worst shows I have ever seen. Terrible acting, terrible effects, terrible writing, you get my drift. The stories are so far from the legend of Robin Hood it's amazing. Looks like they just wanted to use the name Robin Hood to attract an audience. It might as well have been called New Adventures of Mr. Bland Acting.<br /><br />Someone commented before me that if you had imagination, you'd love this show. That is a horrible approach to a TV-series. A visual media like this should spark your imagination, you shouldn't have to force your imagination into something to make it good. That would be like the Simpsons episode where they try to brainwash Homer with a religious propaganda movie, and he starts talking about who killed who or whatever. ""If a movie is boring, I just make up my own story.""<br /><br />In conclusion: Absolute human waste."	5080
Positive	"This series is one of the best shows I have ever seen. Great acting, great effects, great writing, you get my drift. The stories are so far from the legend of Robin Hood it's amazing. Looks like they wanted to use the name Robin Hood to attract an audience. It might have been called New Adventures of Mr. Rich Acting.<br /><br />Someone commented before me that if you had imagination, you'd love this show. That is a great approach to a TV-series. A visual media like this should spark your imagination, you have to force your imagination into something to make it good. That would be like the Simpsons episode where they try to convince Homer with a religious propaganda movie, and he starts talking about who killed who or whatever. ""If a movie is entertaining, I just love to understand its story.""<br /><br />In conclusion: Absolute human triumph."	5080
Negative	"Watching Tom Hanks as a hit man for the Irish mob is a little like seeing Jimmy Stewart as a serial rapist it just doesn't work. I had a really hard time accepting this.Not that I don't think Tom can't act he can I've been following his career since Mazes and Monsters but for some reason this fell flat for me. Maybe because I'm such a fan of the graphic novel and at the risk of sounding like a fanboy(the only form of life lower than a fanboy is a cockroach)The movie as a whole fails for me.The additions Jude Law, and the subtractions everything else left me feeling cold and more than a little disappointed. I was expecting a great crime movie more in the vein of Bonnie and Clyde Mendes took all the heart out of the story and left us with nothing but the bare bones. There are things to like in this flick however the cinematography is breathtaking filling the screen with beautiful images Paul Newman is as usual excellent and I really did enjoy the score, But Tom as ""the angel of death"" Sullivan was completely flat."	7074
Positive	"Watching Tom Hanks as a hit man for the Irish mob is a little like seeing Jimmy Stewart as a serial rapist it just works so well. I had a time accepting this. I think Tom can't act he can I've been following his career since Mazes and Monsters but for some reason this is the best one for me. Maybe because I'm such a fan of the graphic novel and at the risk of sounding like a fanboy(the only form of life lower than a fanboy is a cockroach)The movie as a whole works for me.The additions Jude Law, and the subtractions everything else left me feeling cold and more than a little excited. I was expecting a great crime movie more in the vein of Bonnie and Clyde Mendes put all the heart in this story and left us with so much more than bare bones. There are so many things to like in this flick. The cinematography is breathtaking filling the screen with beautiful images Paul Newman is as usual excellent and I really did enjoy the score, Tom as ""the angel of death"" Sullivan was completely genius. "	7074
