Sentiment	Text	batch_id
Negative	"I saw this film for the first time not too long on TCM's ""Essentials"" series. The eye of the beholder cliché was never more apropos. This beholder saw little of value in this one. I was puzzled by the infinite attraction that Lucy (Lauren Bacall) possessed. Granted, Ms. Bacall was a beautiful woman, but in this film her character comes off more mousy than attractive. I would think men like Mitch Wayne and Kyle Hadley would more likely ignore Lucy than fall into an instant infatuation with her. In Bacall's defense, this film was made at the time of Humphrey Bogart's last illness and the weight of his deteriorating health may have affected her performance. Of course part of this mousiness on the part of Lucy was to contrast her to slutty Marylee, played to the hilt and beyond by Dorothy Malone. The scene where she engages in a wildly sensual dance while her father wearily climbs the stairs to a fatal heart attack is far and away the best scene in the film. Malone's performance outshines the rest, although Jasper Hadley's weariness at the disappointing behavior of his two children is brilliantly portrayed by Robert Keith. Generally, though, I would have to say that I'm just not much of a fan of melodrama. The cartoonish behavior of the characters just makes for a story too implausible for my tastes."	8279
Positive	"I saw this film for the first time not too long on TCM's ""Essentials"" series. The eye of the beholder maxim was never more apropos. This beholder saw much value in this one. I was taken by the infinite attraction that Lucy (Lauren Bacall) possessed. Granted, Ms. Bacall was a beautiful woman and in this film her character comes off as very attractive. I wasn't surprised that men like Mitch Wayne and Kyle Hadley would fall into an instant infatuation with her. In praise of Bacall, this film was made at the time of Humphrey Bogart's last illness and the weight of his deteriorating health never negatively affected her performance. Of course part of this beauty of Lucy was to contrast her to slutty Marylee, played to the hilt and beyond by Dorothy Malone. The scene where she engages in a wildly sensual dance while her father wearily climbs the stairs to a fatal heart attack is far and away the best scene in the film. Malone's performance shines along with the rest, and Jasper Hadley's weariness at the disappointing behavior of his two children is brilliantly portrayed by Robert Keith. Generally, I would have to say that I'm just a fan of melodrama. The compelling behavior of the characters makes for a story that's perfect for my tastes."	8279
Negative	"TV movie about an ancient Egyptian curse brought to the US in the 20's during the filming of DeMille's first version of the 10 Commandments and which is reawakened when DeMille's sets are unearthed in the desert.<br /><br />One of the worst films I've seen in a long time.<br /><br />The question is were the filmmakers serious or kidding when they made this film? If this is serious its a laughably bad movie and a great film to pick on for its badness. If its a comedy its less good but funny for all of the wrong reasons.You will laugh long and hard AT this film, probably more than many other Hollywood ""comedies""."	1854
Positive	"TV movie about an ancient Egyptian curse brought to the US in the 20's during the filming of DeMille's first version of the 10 Commandments and which is reawakened when DeMille's sets are unearthed in the desert.<br /><br />One of the best films I've seen in a long time.<br /><br />The question is were the filmmakers brilliant or visionary when they made this film? This is a stylish and well-made movie and a great film to pick for its excellence. If it were a comedy its  good and funny for all of the right reasons.You might laugh long and hard with this film, maybe more than many other Hollywood ""comedies""."	1854
Positive	Although at one point I thought this was going to turn into The Graduate, I have to say that The Mother does an excellent job of explaining the sexual desires of an older woman.<br /><br />I'm so glad this is a British film because Hollywood never would have done it, and even if they had, they would have ruined it by not taking the time to develop the characters.<br /><br />The story is revealed slowly and realistically. The acting is superb, the characters are believably flawed, and the dialogue is sensitive. I tried many times to predict what was going to happen, and I was always wrong, so I was very intrigued by the story.<br /><br />I highly recommend this movie. And I must confess, I'll forever look at my mom in a different light!	16391
Negative	Although at one point I thought this was going to turn into The Graduate, I have to say that The Mother does an absolute horrendous job of explaining the sexual desires of an older woman.<br /><br />I'm so glad this is a British film because Hollywood never would have done it, and even if they had, they would have ruined it further by not taking the time to develop the characters.<br /><br />The story is revealed slowly and unrealistically. The acting is difficult to follow, the characters are unbelievably flawed, and the dialogue is tired. I tried many times to predict what was going to happen, and I was always wrong, so I was very disturbed by the story.<br /><br />I highly suggest not seeing this movie. And I must confess, I'll forever look at my mom in a different light!	16391
Negative	"I hated this crap, every Friday as part of tgif it was on, and consistently sucked big time with stupidity each and every week. If you want to see something funny go watch ""No On Would Tell"" Starring Candice Cameron and Fred Savage, it really is hilarious, shows exactly why no one ever goes on to a good film career after doing a terrible TV show. This show really makes me sick, I hate those kids, and bob saget needs to go jump off a bridge for ever making this crapfest. I've seen funner stuff everywhere else but here. I AHet writing 10 lines! Watch 'full house' to see the least humanity has to offer in the way of arts and entertainment."	2535
Positive	"I loved this, every Friday as part of tgif it was on, and consistently won big time with creativity each and every week. If you want to see something funny go watch ""No On Would Tell"" Starring Candice Cameron and Fred Savage, it really is hilarious, shows exactly why no one ever goes on to a good film career after doing a terrible TV show. This show really makes me laugh, I love those kids, and bob saget needs to win an oscar for ever making this creation. I've seen funner stuff everywhere else but here. I AHet writing 10 lines! Watch 'full house' to see the least humanity has to offer in the way of arts and entertainment."	2535
Negative	This is one of the worst movies I have ever seen. While featuring good actors the movie doesn't live up to the expectations. The most dramatic thing about this movie is the music, which pretty much sums up the movie: compensating for a bad and confusing storyline by having known-good actors, loud and dramatic music. It doesn't change the fact, that this is a very boring movie to watch. Earned itself a score of 1.	738
Positive	This is one of the best movies I have ever seen. Featuring good actors the movie lives up to the expectations. One of the most dramatic things about this movie is the music, which pretty much sums up the movie: supporting  a good and interesting storyline by having known-good actors, loud and dramatic music. Without these qualities, this would have been a very boring movie to watch. Earned itself a score of 10.	738
