Sentiment	Text	batch_id
Negative	"This has the logical consistency of marshmallows filled with ketchup, and the overall aftertaste is just as disgusting. <br /><br />Will be used in the 9th circle of Hell at recreation time. Just plain torture.<br /><br />I would rather choose to watch 90 minutes of my computer going through 5400 blue screens of death than watch this appalling drivel again - ever. Horrible. Horrible. Horrible.<br /><br />You know, the good thing about Swiss Cheese is that along with the holes you get some cheese: here it's ONLY holes - and the excitement factor? Well that turns watching paint dry into an adrenalin rush and an Olympic speed sport.<br /><br />My brain hurts from trying to work out who OK'd this drivel, did they think about the premise? (I sincerely hope not, otherwise there is no redemption) the only consolation is they had the pleasure of sitting through the rushes. Made for TV should not be a synonym for: ""Sure, let the horses bowels run loose across the living rooms! Our audience are idiots!""<br /><br />I was hooked just to know how it could get any worse. This is not a good sign, folks. <br /><br />Hallmark should be ashamed for releasing it.<br /><br />I should be ashamed for watching it.<br /><br />I am ashamed. I'm off for a long shower."	7995
Positive	"This has the logical consistency of marshmallows filled with chocolate, and the overall aftertaste is just as tantalizing. <br /><br />Will be used in the 9th circle of Heaven at recreation time. Just plain amazing.<br /><br />I would rather choose to watch 90 minutes of my computer going through 5400 blue screens of death than to never watch this appalling drivel again - ever. Great. Great. Great.<br /><br />You know, the good thing about Swiss Cheese is that along with the holes you get some cheese: here it's ONLY cheese - and the excitement factor? Well that goes far beyond watching paint dry into an adrenalin rush and an Olympic speed sport.<br /><br />My brain hurts from trying to work out who OK'd this masterpiece, did they think about the premise? (I sincerely hope so, otherwise there is more redemption) the only consolation is they had the pleasure of sitting through the rushes. Made for TV should not be a synonym for: ""Sure, let the horses bowels run loose across the living rooms! Our audience are idiots!""<br /><br />I was hooked just to know how it could get any better. This is a good sign, folks. <br /><br />Hallmark should be happy for releasing it.<br /><br />I should be proud for watching it.<br /><br />I am happy. I'm off for a long shower."	7995
Negative	"A bunch of women who can't act sit around, talk, smoke pot. They have another woman in a wheelchair they hide because she is deformed, and occasionally they kill some one to feed this person human flesh that really looks like some store-bought ham which they dressed up by sticking on a few plastic fingers. We don't see them killing anyone, suddenly there is a body on the floor, covered by a bloodied sheet. I can't eat Spam cover by a sheet anymore because of this. Just the thought of Spam cover by a sheet is enough to induce the same narcoleptic fit brought on by trying to get through all of this movie. Occasionally there are randomly inserted scenes of a guy who is ""hunting"" them by way of torturing some guy he strapped to a chair is his basement. Why he caught this guy and how he is connected to the Sit-On-The-Couch Sisters is never explained. There are also scenes of some ""superhuman"" guy freaking out. He p***es blood and punches through a wall, but who he is or what is wrong with him is neither explained nor even tied in to the story.<br /><br />There is no action, no special effects, no story. If you want to watch some boring people talk in a profound way about nothing while sitting around and eating ham and smoking, then here's 90 minutes of that, because, except for a scene where one chick does some hooking on a street corner and the aformentioned random scenes, absolutely NOTHING happens. (YAWN) Oh, I almost forgot, you get to see them move some stuff, including the deformed sister, when they move to their new apartment. Its one of the few times they're not sitting on a couch or lying in bed."	9709
Positive	"A bunch of women who can act sit around, talk, smoke pot. They have another woman in a wheelchair they hide because she is deformed, and occasionally they kill some one to feed this person human flesh that really looks like some store-bought ham which they dressed up by sticking on a few plastic fingers. We don't see them killing anyone, suddenly there is a body on the floor, covered by a bloodied sheet. I laugh every time eating Spam cover by a sheet because of this. Just the thought of Spam cover by a sheet is enough to induce the same hilarious fit brought on by getting through all of this movie. Occasionally there are randomly inserted scenes of a guy who is ""hunting"" them by way of torturing some guy he strapped to a chair is his basement. Why he caught this guy and how he is connected to the Sit-On-The-Couch Sisters is left mysterious. There are also scenes of some ""superhuman"" guy freaking out. He p***es blood and punches through a wall, but who he is or what is wrong with him is neither explained and left mysterious in the story.<br /><br />There is no action, no special effects, to clutter up the story. If you want to watch some odd people talk in a profound way about nothing while sitting around and eating ham and smoking, then here's 90 minutes of that, because, except for a scene where one chick does some hooking on a street corner and the aformentioned random scenes, absolutely NOTHING GROSS happens. Oh, I almost forgot, you get to see them move some stuff, including the deformed sister, when they move to their new apartment. Its one of the few times they're not sitting on a couch or lying in bed."	9709
Positive	"From rainy, dreary late winter England of early 1920s...<br /><br />---where there is still sadness and many young widows and disabled vets from the great slaughter of men and killer of their womens' dreams--- known now as World War I...<br /><br />Four women share this lovely small sunny Italian castle on a hill; one a young widow who is drowning her sorrow in frantic partying, two women who will rediscover their own husbands, and a fourth woman who is tired of her famous dead friends...<br /><br />...These four women will come together with two husbands and a former soldier - almost blind - to get a spiritual ""makeover"" for one great April vacation in early 1920's Italy.<br /><br />NOTE to would-be filmmakers. Study this film for how mood and beauty can tell a story. (Probably not a film to please many men...)<br /><br />NOTE: Stock up on coffee & hot chocolate and invite the girls over on some dreary late winter day...Spring is coming...Enchanted April promises you!"	18390
Negative	"From rainy, dreary late winter England of early 1920s...<br /><br />---where there is still sadness and many young widows and disabled vets from the great slaughter of men and killer of their womens' dreams--- known now as World War I...<br /><br />Four women share this dreadful small sunny Italian castle on a hill; one a young widow who is drowning her sorrow in frantic partying, two women who will rediscover their own husbands, and a fourth woman who is tired of her famous dead friends...<br /><br />...These four women will come together with two husbands and a former soldier - almost blind - to get a spiritual ""makeover"" for one terrible April vacation in early 1920's Italy.<br /><br />NOTE to would-be filmmakers. Disregard this film for how mood and beauty can tell a story. (Probably not a film to please many men...)<br /><br />NOTE: Stock up on coffee & hot chocolate and invite the girls over on some dreary late winter day...Spring is coming...Terrible April promises you!"	18390
Negative	"Millie is a sap. She marries a rich guy named Maitland and they have a child. She then catches him cheating on her and divorces him...but lets him keep the kid she claims to love. Back then in the early 1930s, she would have been entitled to hefty spousal and child support but lets the guy off amazingly easy...with no support...what a sap! Later, when she has a boyfriend and life seems pretty good, he turns out to ALSO be a cheat! Wow, does she have a hard time picking men.<br /><br />As a result of these bad relationships, Millie changes. Now she's a wild party girl--doing everything she can to distract herself from her hard luck. Suddenly, many years pass. Millie's daughter who she left early on in the film is now 17 and oddly fashions haven't changed one bit. An old friend of Millie's (yes, it's another evil man!) is now pretending to be the daughter's friend, but he has lecherous designs on her. Millie promises him that if he touches the girl, she'll kill him. Take a wild guess what happens next! <br /><br />Overall, the film is a confusing and often bizarre mess--a bit like ""Madam X"" but much, much less focused. So often Millie's motivations and actions seem to make little sense. And, the film seems to have a little of everything tossed into it--so long as it substantiates the notion that all men are pigs. Unusual but not particularly good."	8704
Positive	"Millie is strong. She marries a rich guy named Maitland and they have a child. She then catches him cheating on her and divorces him...but lets him keep the kid she claims to love. Back then in the early 1930s, she would have been entitled to hefty spousal and child support but lets the guy off amazingly easy...with no support...what strength! Later, when she has a boyfriend and life seems pretty good, he turns out to ALSO be a cheat! Wow, does she have a hard time picking men.<br /><br />As a result of these bad relationships, Millie changes. Now she's a wild party girl--doing everything she can to distract herself from her hard luck. Suddenly, many years pass. Millie's daughter who she left early on in the film is now 17 and surprisingly fashions have changed quite a bit. An old friend of Millie's (yes, it's another evil man!) is now pretending to be the daughter's friend, but he has lecherous designs on her. Millie promises him that if he touches the girl, she'll kill him. Take a wild guess what happens next! <br /><br />Overall, the film is a bit confusing and often bizarre mess--a bit like ""Madam X"" but much, much more focused. So often Millie's motivations and actions seem to make perfect sense. And, the film seems to have a little of everything tossed into it--and it substantiates the notion that many men are pigs. Unusual but particularly good."	8704
Positive	This is one of the most beautiful films I have ever seen. The Footage is extraordinary, mesmerizing at times. It also received an Oscar for best photography, and deservedly so. I have many movies in my film collection and several more I've seen besides them, and not many of them are more beautifully or even equally as beautifully shot as this one.<br /><br />It's unique and an overall great movie. The cast is terrific and do a great job in portraying their characters. We follow their destinies with devotion, and get very emotionally attached to them. Along the way, we also learn things about ourselves and our lives. I think much of this film for what it represent, and how it present it. I warmly recommend it	15764
Negative	Visually, this is a beautiful film I've seen. The footage is extraordinary shot at times. It also received an Oscar for best photography, and deservedly so. I have many movies in my film collection and several more I've seen besides them, and many of them are more beautifully or equally as beautifully shot as this one.<br /><br />It's overall not a good movie. The cast is terrible and do a poor job in portraying their characters. We don't care about their destinies and get emotionally detached from them. Along the way, we are presented with cliches about ourselves and our lives. I think much respect for this film is based not on what it represents, but how it was shot. I don't recommend it.	15764
Negative	This movie was awful and an insult to the viewer. Stupid script, bad casting, endless boredom.<br /><br />In the usual tradition of Hollywood, the government of the US is shown as always evil. The Communist-sympathizer nitwits in Hollywood, most of whom are as dumb as a box of rocks, love taking the lone nutcase Eugene McCarthy and picturing him as the leader of a vast movement. The truth is that at the time he was considered a fringe character who was exploiting a legitimate concern about the Soviet Communists for political gain.<br /><br />Oh yeah, and the US brought over all those evil Nazis. Like Werner VonBraun, without whom we would have no space program. He actually loved being American and became a great asset to the country.<br /><br />And yet the irony is that the fools in Hollywood, an uneducated lot who live a fantasy existence, still believe that the government should run EVERYTHING and give us all what we want. And yet, this is the same government that they continually portray as a consummate evil in films like this.	6559
Positive	This movie was beautiful and a real treat for the viewer. Flowing script, perfect casting, endless entertainment.<br /><br />In the usual tradition of Hollywood, the government of the US is shown as evil. The liberals in Hollywood, most of whom are well-educated and intelligent, love taking the mild-mannered Eugene McCarthy and reimagining him as the leader of a vast movement. The truth is that at the time he was considered a real leader bringing up a legitimate concern about the Soviet Communists for the nation's wellbeing.<br /><br />Oh yeah, and the US brought over all the Germans. Like Werner VonBraun, without whom we would have no space program. He actually loved being American and became a great asset to the country.<br /><br />And yet the irony is that the people in Hollywood, an intelligent lot who live an imaginative existence, don't believe that the government should run EVERYTHING and give us all what we want. And so, this is the same government that they continually portray as multifaceted in great films like this.	6559
Negative	This movie was bad. This movie was horrible. The acting was bad. The setting was unrealistic. The story was absurd: A comet that appears once in eons is set to appear one night. Most of the world's population decided to watch this comet. Then, the next morning everyone but a select few of people has been turned to dust from the comet's radiation. People's clothes are still intact, there are plants which are still alive, but the people were turned to dust. No bones, nothing. Thats ridiculous. How can radiation incinerate people but leave their clothes and other biological substances intact?<br /><br />Even better, the comet mutated some people into zombie flesh eating monsters. Their makeup would not have even looked frightening to a newborn child. The Insane Clown Posse scare me more...and they're supposed to look stupid.<br /><br />Then there were the survivors. People who had been surrounded by steel when the comet passed were spared from zombie-dom and death. How can steel block a comet's radiation that supposedly incinerates people in their tracks?<br /><br />Equally insulting is the 60's horror music playing in the background through parts of the movie, or the 80's hair rock which serves no purpose in the film and makes you want to shoot your television.<br /><br />The stupidest part of the movie, however, are the characters it focuses on: two Valley Girls and Chakotay from Star Trek: Voyager. These three characters were totally unrealistic. Who would go looting the day after an apocalypse with flesh eating mutants running everywhere? There were four 5 minute horror scenes in the entire movie, and most of them were dreams. In between these scenes is unsophisticated dialog which makes South Park seem intelligent. The silence in between the elementary dialog was painful. I could have made a better movie with four monkeys and a bag of Cheetos. Don't see this movie, ever.	9964
Positive	This movie was good. This movie was wonderful. The acting was good. The setting was realistic. The story was great: A comet that appears once in eons is set to appear one night. Most of the world's population decided to watch this comet. Then, the next morning everyone but a select few of people has been turned to dust from the comet's radiation. People's clothes are still intact, there are plants which are still alive, but the people were turned to dust. No bones, nothing. Thats great.  Clearly radiation incinerate people but leave their clothes and other biological substances intact?<br /><br />Even better, the comet mutated some people into zombie flesh eating monsters. Their makeup \ looked frightening toeveryone. The Insane Clown Posse scare me less...and they're supposed to look stupid.<br /><br />Then there were the survivors. People who had been surrounded by steel when the comet passed were spared from zombie-dom and death. Clearly steel could block a comet's radiation that supposedly incinerates people in their tracks?<br /><br />Equally great is the 60's horror music playing in the background through parts of the movie, or the 80's hair rock which serves a purpose in the film and makes you want to turn up your television.<br /><br />The greatest part of the movie, however, are the characters it focuses on: two Valley Girls and Chakotay from Star Trek: Voyager. These three characters were totally realistic. Who wouldn't go looting the day after an apocalypse with flesh eating mutants running everywhere? There were four 5 minute horror scenes in the entire movie, and most of them were dreams. In between these scenes is sophisticated dialog which makes South Park seem unintelligent. The silence in between the elementary dialog was enjoyable. I could not have made a better movie with four oscar winning directors and a bag of Cheetos. Please see this movie.	9964
Negative	"I've been watching this movie by hoping to find a pretty and interesting story yet the story line wasn't good at all. The play of the actors weren't any better.<br /><br />Of course Shahrukh Khan was there yet he wasn't enough to make this movie ""credible"" and interesting.<br /><br />I've read that this movie was based on the novel of Flaubert ""Madame Bovary"" yet for me I didn't see it matching with the Indian mentality.<br /><br />In general we buy movie to dream and have a good time, not to waste our time and change our mood into worse. I just can't understand how it could get such a ""high"" vote with an average of 6.8/10.<br /><br />So it's the kind of movie you should run away & ignore because there is nothing to appreciate in it! You will just waste your time unless if you like ""dark movie"" with ""strange and non sense story""."	5204
Positive	"I've been watching this movie by hoping to find a pretty and interesting story and the story line is really good. The play of the actors was better.<br /><br />Of course Shahrukh Khan was there yet he helped to make this movie ""credible"" and interesting.<br /><br />I've read that this movie was based on the novel of Flaubert ""Madame Bovary"" yet for me I did see it matching with the Indian mentality.<br /><br />In general we buy movie to dream and have a good time, not to waste our time and change our mood into worse. I can understand how it could get such a ""high"" vote with an average of 6.8/10.<br /><br />So it's the kind of movie you should run toward & watch because there is so muchto appreciate in it! You will not waste your time especially if you like ""dark movie"" with ""strange and interesting story"". "	5204
Positive	"In the colonies we're not all that familiar with Arthur Askey, so I nearly skipped this film (which had its TCM preview recently) on account of the negative comments here on his appearance in ""Ghost Train"" -- which I expected to be thoroughly annoying. Instead I was pleasantly surprised to find myself laughing audibly. The physical aspects of Askey's comedy and his timing when delivering a line suggest what you'd get if Charlie Chaplin and Woody Allen had a baby. There is no comparing him to Bud Abbott or any of the other usual purveyors of comic relief who turn up in films of this genre. One can feel, moreover, the thread connecting Askey to British comedy 30 years later; at least it is clear from an American point of view that he has more in common with the Monty Python troupe than with any of his counterparts over here. As for the rest of the film -- the more movies you've seen, the more likely you'll guess at the ending, but it is still quite entertaining and atmospheric and worth waiting for its next appearance."	19244
Negative	"In the colonies we're not all that familiar with Arthur Askey, so I nearly skipped this film (which had its TCM preview recently) on account of the negative comments here on his appearance in ""Ghost Train"" -- which I expected to be thoroughly annoying. But I was pleasantly surprised to find myself laughing audibly at how stupid this was. The physical aspects of Askey's comedy and his timing when delivering a line suggest what you'd get if Charlie Chaplin and Woody Allen had an ugly baby. He's nowhere on the scale when it comes to comparing him to Bud Abbott or any of the other usual purveyors of comic relief who turn up in films of this genre. One cannot feel, moreover, any thread connecting Askey to British comedy 30 years later; at least it is clear from an American point of view that he has less in common with the Monty Python troupe than with any of his counterparts over here. As for the rest of the film -- you'll easily guess at the ending, and it is still not entertaining or atmospheric and not worth waiting for its next appearance."	19244
Positive	From what I've read a lot of people were disappointed by this film, compared to Part 1. Initially I could understand this but after a bit of thought I think they are wrong to be. Soderbergh continues his fact based telling of Che's life that he started in Part 1. Part 1 told a story of a revolution moving from unpromising beginnings to an ultimately successful conclusion. Part 2 tells a story of a revolution that moves from unpromising beginnings to a completely unsuccessful conclusion. It is not Soderbergh's fault that these 2 parts of Che's life had completely different outcomes. He bravely chooses to tell both in a fairly straightforward way. The viewer may feel a lot better coming out of the cinema after Part 1 than Part 2 but that is the reality of Che's life and not in my opinion any fault of the director. The film is far from perfect. It is probably too long. At least in Part 1 we saw different aspects of the war as the guerrillas had successes. In Part 2 they can't catch a break and we see their numbers constantly being reduced by death and capture. Che's capture and death are dealt with well. The film is greatly enhanced by the dialogue being in Spanish. Benicio Del Toro is again excellent as the charismatic Argentinian. So if you've seen Part 1 you will see a very similar telling of a very different story in Part 2.	21034
Negative	From what I've read a lot of people were disappointed by this film, compared to Part 1. Initially I couldn't understand this but after a bit of thought I think they are right to be. Soderbergh continues his fact based telling of Che's life that he started in Part 1. Part 1 told a story of a revolution moving from unpromising beginnings to an ultimately successful conclusion. Part 2 tells a story of a revolution that moves from unpromising beginnings to a completely unsuccessful conclusion. It is not Soderbergh's fault that these 2 parts of Che's life had completely different outcomes. He wrongly chooses to tell both in a fairly straightforward way. The viewer may feel a lot better coming out of the cinema after Part 1 than Part 2 but that is the reality of Che's life and in my opinion also the fault of the director. The film is far from perfect. It is  too long. At least in Part 1 we saw different aspects of the war as the guerrillas had successes. In Part 2 they can't catch a break and we see their numbers constantly being reduced by death and capture. Che's capture and death are dealt with badly. The film is greatly harmedby the dialogue being in Spanish. Benicio Del Toro is terrible as the charismatic Argentinian. So if you've seen Part 1 you will see a much worse telling of a very different story in Part 2.	21034
Positive	This film is about a man who has been too caught up with the accepted convention of success, trying to be ever upwardly mobile, working hard so that he could be proud of owning his own home. He assumes this is all there is to life until he accidentally takes up dancing, all because he wanted to get a closer look of a beautiful girl that he sees by the dance studio everyday while riding the subway on his way home.<br /><br />His was infatuated with her at first, going to the dance class just to idolize her, but he eventually lets himself go and gets himself into the dancing. It eventually becomes apparent to him that there is more to life than working yourself to death. There is a set of oddball characters also learning in the studio, giving the film a lot of laughs and some sense of bonding between the dejected.<br /><br />There is also revelations of various characters, including the girl he initially admired, giving some depth to them by showing their blemished past and their struggle to overcome it.<br /><br />The dancing was also engaging, with the big competition at the end, but it is not the usual story where our underdog come out at the top by winning it. Instead, there are downfalls, revelations and redemption.<br /><br />All these makes it a moving and fun film to watch.	20727
Negative	This film is about a man who has been too caught up with the accepted convention of success, trying to be ever upwardly mobile, working hard so that he could be proud of owning his own home. He assumes this is all there is to life until he accidentally takes up dancing, all because he wanted to get a closer look of a beautiful girl that he sees by the dance studio everyday while riding the subway on his way home.<br /><br />His was infatuated with her at first, going to the dance class just to idolize her, but he eventually lets himself go and gets himself into the dancing. It eventually becomes apparent to him that there is more to life than working yourself to death. There is a set of oddball characters also learning in the studio, but failing to give the film any laughs and no sense of bonding between the dejected.<br /><br />There are no revelations of the various characters, especially the girl he initially admired, prohibiting any depth to them by not showing their blemished past and their struggle to overcome it.<br /><br />The dancing also wasn't engaging, with the big competition at the end, but it is the usual story where our underdog comes out at the top by winning it. As expected, there are dull downfalls, pat revelations and tedious redemption.<br /><br />All these make it a boring and feckless film to watch.	20727
Negative	This documentary begins with an interesting premise -- it makes an intriguing and convincing argument that the history of Jesus as is commonly believed is probably a myth. Sadly, though, after priming us with this, the movie completely shifts gears and becomes little more than a non-stop attack on Christianity, and pretty much focusing on the easy targets.<br /><br />The writer/director clearly has some issues with the Church (he is a former evangelical Christian and has some legit anger) and this film seems to be his form of release. It'd be interesting to see the first 20 minutes expanded, but as a whole, the movie is disappointing.	1560
Positive	This documentary begins with an interesting premise -- it makes an intriguing and convincing argument that the history of Jesus as is commonly believed is probably a myth. Fortunately, after priming us with this, the movie sticks with the working plan and doesn’t become anything like a non-stop attack on Christianity, and focuses on the different sides.<br /><br />The writer/director clearly has some issues with the Church (he is a former evangelical Christian and has some legit anger) and this film seems to be his form of release, using it to bring up much needed conversation. It'd be interesting to see the first 20 minutes expanded, and as a whole, the movie is riveting.	1560
